"Mission.CEOS.ID";"Short.Name";"Full.Name";"Mission.agencies";"Launch.year";"Orbit";"Instrument.CEOS.ID";"Resolution";"Swath";"Short.name";"Full.name";"Technology";"Instrument.agencies"
"88";"Landsat 4";"Landsat 4";"USGS";"16 Jul 1982";"Sun-synchronous";327;"VIS - SWIR, 30 m; TIR: 120 m[Best Resolution: 30m]";"185 km[Max Swath: 185 km]";"TM";"Thematic Mapper";"High resolution optical imager";"USGS, NASA"
"97";"NOAA-9";"National Oceanic and Atmospheric Administration - 9";"NOAA";"12 Dec 1984";"Sun-synchronous";310;"1.1 km IFOV s.s.p. (at Instantaneous Field of View at subsatellite point)[Best Resolution: 1100m]";"2900km[Max Swath: 2900 km]";"AVHRR/2";"Advanced Very High Resolution Radiometer/2";"Multi-purpose imaging Vis/IR radiometer";"NOAA"
"99";"NOAA-11";"National Oceanic and Atmospheric Administration - 11";"NOAA";"24 Sep 1988";"Sun-synchronous";310;"1.1 km IFOV s.s.p. (at Instantaneous Field of View at subsatellite point)[Best Resolution: 1100m]";"2900km[Max Swath: 2900 km]";"AVHRR/2";"Advanced Very High Resolution Radiometer/2";"Multi-purpose imaging Vis/IR radiometer";"NOAA"
"101";"NOAA-13";"National Oceanic and Atmospheric Administration - 13";"NOAA";"09 Aug 1993";"Sun-synchronous";310;"1.1 km IFOV s.s.p. (at Instantaneous Field of View at subsatellite point)[Best Resolution: 1100m]";"2900km[Max Swath: 2900 km]";"AVHRR/2";"Advanced Very High Resolution Radiometer/2";"Multi-purpose imaging Vis/IR radiometer";"NOAA"
"104";"NOAA-16";"National Oceanic and Atmospheric Administration - 16";"NOAA";"21 Sep 2000";"Sun-synchronous";403;"1.1 km[Best Resolution: 1100m]";"3000 km approx, Ensures full global coverage twice daily[Max Swath: 3000 km]";"AVHRR/3";"Advanced Very High Resolution Radiometer/3";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, NOAA"
"105";"NOAA-17";"National Oceanic and Atmospheric Administration - 17aka NOAA-M";"NOAA";"24 Jun 2002";"Sun-synchronous";403;"1.1 km[Best Resolution: 1100m]";"3000 km approx, Ensures full global coverage twice daily[Max Swath: 3000 km]";"AVHRR/3";"Advanced Very High Resolution Radiometer/3";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, NOAA"
"106";"NOAA-18";"National Oceanic and Atmospheric Administration - 18";"NOAA";"20 May 2005";"Sun-synchronous";403;"1.1 km[Best Resolution: 1100m]";"3000 km approx, Ensures full global coverage twice daily[Max Swath: 3000 km]";"AVHRR/3";"Advanced Very High Resolution Radiometer/3";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, NOAA"
"113";"NOAA-19";"National Oceanic and Atmospheric Administration - 19aka NOAA-N'";"NOAA";"04 Feb 2009";"Sun-synchronous";403;"1.1 km[Best Resolution: 1100m]";"3000 km approx, Ensures full global coverage twice daily[Max Swath: 3000 km]";"AVHRR/3";"Advanced Very High Resolution Radiometer/3";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, NOAA"
"123";"Sich-2";"Sich-2";"NSAU";"17 Aug 2011";"Sun-synchronous";794;"8.2 m[Best Resolution: 8.2m]";"46.6 km pointable ±35° from nadir[Max Swath: 46 km]";"MBEI";"Multi-Band Earth Imager";"High resolution optical imager";"NSAU"
"";"";"";"";"";"";795;"41.4 m[Best Resolution: 41.4m]";"55.3 km pointable ±35° from nadir[Max Swath: 55 km]";"MIRS";"Middle IR Scanner";"Multi-purpose imaging Vis/IR radiometer";"NSAU"
"130";"Meteor-3M";"Meteor-3Maka Meteor-3M N1";"ROSHYDROMET, ROSKOSMOS";"10 Dec 2001";"Sun-synchronous";779;"1000 m[Best Resolution: 1000m]";"2900 km[Max Swath: 2900 km]";"MSU-MR";"Low-resolution multispectral scanning imager-radiometer";"Multi-purpose imaging Vis/IR radiometer";"ROSKOSMOS, ROSHYDROMET"
"";"";"";"";"";"";777;"225 m";"2250 km";"MSU-SM";"Multi-Spectral Medium Resolution Scanning System";"Multi-purpose imaging Vis/IR radiometer";"ROSHYDROMET"
"";"";"";"";"";"";800;"1 m, 5 m, 50 m, 200 m, 500 m[Best Resolution: 1m]";"10 km, 50 km, 130 km, 600 km, 750 km[Max Swath: 750 km]";"SAR";"Synthetic Aperture Radar X band";"Imaging radar (SAR)";"ROSHYDROMET"
"152";"Elektro-L N1";"Geostationary Operational Meteorological Satellite";"ROSKOSMOS, ROSHYDROMET";"20 Jan 2011";"Geostationary";784;"1000 m; 4000 m[Best Resolution: 1000m]";"Full Earth disk";"MSU-GS";"Multispectral scanning imager-radiometer";"Multi-purpose imaging Vis/IR radiometer";"ROSKOSMOS, ROSHYDROMET"
"203";"NMP EO-1";"New Millenium Program Earth Observing-1aka EO-1";"NASA";"21 Nov 2000";"Sun-synchronous";422;"PAN: 10 m, VNIR and SWIR: 30 m[Best Resolution: 10m]";"185 km[Max Swath: 185 km]";"ALI";"Advanced Land Imager";"High resolution optical imager";"NASA"
"";"";"";"";"";"";627;"30 m[Best Resolution: 30m]";"185 km[Max Swath: 185 km]";"Hyperion";"Hyperspectral Imager";"High resolution optical imager";"NASA"
"204";"Terra";"Terra (formerly EOS AM-1)aka EOS AM-1";"NASA, CSA, ECCC, METI";"18 Dec 1999";"Sun-synchronous";396;"275 m, 550 m or 1.1 km, Summation modes available on selected cameras/bands: 1 x 1, 2 x 2, 4 x 4, 1 x 4. 1 pixel = 275 x 275 m[Best Resolution: 275m]";"380 km common overlap of all 9 cameras[Max Swath: 380 km]";"MISR";"Multi-angle Imaging SpectroRadiometer";"Multi-channel/direction/polarisation radiometer";"NASA"
"";"";"";"";"";"";395;"Cloud cover: 250 m (day) and 1000 m (night), Surface temperature: 1000 m[Best Resolution: 250m]";"2330 km[Max Swath: 2330 km]";"MODIS";"MODerate-Resolution Imaging Spectroradiometer";"Medium-resolution spectro-radiometer";"NASA"
"206";"Aqua";"Aqua (formerly EOS PM-1)aka EOS PM-1";"NASA, INPE, JAXA";"04 May 2002";"Sun-synchronous";395;"Cloud cover: 250 m (day) and 1000 m (night), Surface temperature: 1000 m[Best Resolution: 250m]";"2330 km[Max Swath: 2330 km]";"MODIS";"MODerate-Resolution Imaging Spectroradiometer";"Medium-resolution spectro-radiometer";"NASA"
"220";"ERS-1";"European Remote Sensing satellite - 1";"ESA";"17 Jul 1991";"Sun-synchronous";433;"30 m[Best Resolution: 30m]";"100 km[Max Swath: 100 km]";"AMI/SAR/Image";"Active Microwave Instrumentation. Image Mode";"Imaging radar (SAR)";"ESA"
"";"";"";"";"";"";435;"Cells of 50 x 50 km at 25 km intervals";"500 km";"AMI/Scatterometer";"Active Microwave Instrumentation. Wind mode";"Radar scatterometer";"ESA"
"";"";"";"";"";"";407;"";"";"ATSR";"Along Track Scanning Radiometer";"Multi-channel/direction/polarisation radiometer";"UKSA, CSIRO"
"221";"ERS-2";"European Remote Sensing satellite - 2";"ESA";"21 Apr 1995";"Sun-synchronous";433;"30 m[Best Resolution: 30m]";"100 km[Max Swath: 100 km]";"AMI/SAR/Image";"Active Microwave Instrumentation. Image Mode";"Imaging radar (SAR)";"ESA"
"";"";"";"";"";"";435;"Cells of 50 x 50 km at 25 km intervals";"500 km";"AMI/Scatterometer";"Active Microwave Instrumentation. Wind mode";"Radar scatterometer";"ESA"
"";"";"";"";"";"";408;"IR ocean channels: 1 x 1 km, Microwave near-nadir viewing: 20 km instantaneous field of view";"500 km";"ATSR-2";"Along Track Scanning Radiometer - 2";"Multi-channel/direction/polarisation radiometer";"UKSA, CSIRO"
"223";"NOAA-12";"National Oceanic and Atmospheric Administration - 12";"NOAA";"14 May 1991";"Sun-synchronous";310;"1.1 km IFOV s.s.p. (at Instantaneous Field of View at subsatellite point)[Best Resolution: 1100m]";"2900km[Max Swath: 2900 km]";"AVHRR/2";"Advanced Very High Resolution Radiometer/2";"Multi-purpose imaging Vis/IR radiometer";"NOAA"
"224";"NOAA-14";"National Oceanic and Atmospheric Administration - 14";"NOAA";"30 Dec 1994";"Sun-synchronous";310;"1.1 km IFOV s.s.p. (at Instantaneous Field of View at subsatellite point)[Best Resolution: 1100m]";"2900km[Max Swath: 2900 km]";"AVHRR/2";"Advanced Very High Resolution Radiometer/2";"Multi-purpose imaging Vis/IR radiometer";"NOAA"
"225";"NOAA-15";"National Oceanic and Atmospheric Administration - 15";"NOAA";"13 May 1998";"Sun-synchronous";403;"1.1 km[Best Resolution: 1100m]";"3000 km approx, Ensures full global coverage twice daily[Max Swath: 3000 km]";"AVHRR/3";"Advanced Very High Resolution Radiometer/3";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, NOAA"
"226";"Landsat 5";"Landsat 5aka L5, Landsat-5";"USGS, NASA";"01 Mar 1984";"Sun-synchronous";327;"VIS - SWIR, 30 m; TIR: 120 m[Best Resolution: 30m]";"185 km[Max Swath: 185 km]";"TM";"Thematic Mapper";"High resolution optical imager";"USGS, NASA"
"229";"Meteosat-8";"Meteosat Second Generation-1aka MSG-1";"EUMETSAT, ESA";"28 Aug 2002";"Geostationary";302;"HRV=1 km, All other channels=3 km (spatial sampling distance at SSP)[Best Resolution: 1000m]";"9 km swath scanning E-W, moving up S-N a swath width at the end of each swath.  Full Disc Coverage (FDC) or Local Area Coverage (LAC) possible.[Max Swath: 9 km]";"SEVIRI";"Spinning Enhanced Visible and Infra-Red Imager";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, ESA"
"230";"Metop-B";"Meteorological Operational Polar Satellite - Baka Metop-1";"EUMETSAT, CNES, ESA, NOAA";"17 Sep 2012";"Sun-synchronous";403;"1.1 km[Best Resolution: 1100m]";"3000 km approx, Ensures full global coverage twice daily[Max Swath: 3000 km]";"AVHRR/3";"Advanced Very High Resolution Radiometer/3";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, NOAA"
"231";"Metop-C";"Meteorological Operational Polar Satellite - Caka Metop-3";"EUMETSAT, CNES, ESA, NOAA";"07 Nov 2018";"Sun-synchronous";403;"1.1 km[Best Resolution: 1100m]";"3000 km approx, Ensures full global coverage twice daily[Max Swath: 3000 km]";"AVHRR/3";"Advanced Very High Resolution Radiometer/3";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, NOAA"
"234";"IRS-P2";"Indian Remote Sensing Satellite - P2";"ISRO";"15 Oct 1994";"Sun-synchronous";439;"Bands 2, 3 & 4: 23.5 m, Band 5: 70.5 m";"141 km";"LISS-II";"Linear Imaging Self Scanner - II";"High resolution optical imager";"ISRO"
"235";"IRS-1C";"Indian Remote Sensing Satellite - 1C";"ISRO";"28 Dec 1995";"Sun-synchronous";444;"Bands 2, 3 & 4: 23.5 m, Band 5: 70.5 m[Best Resolution: 23.5m]";"141 km[Max Swath: 141 km]";"LISS-III (IRS)";"Linear Imaging Self Scanner - III (IRS)";"High resolution optical imager";"ISRO"
"";"";"";"";"";"";459;"188 m[Best Resolution: 188m]";"810 km [Max Swath: 810 km]";"WiFS";"Wide Field Sensor";"Multi-purpose imaging Vis/IR radiometer";"ISRO"
"237";"IRS-P3";"Indian Remote Sensing Satellite - P3";"ISRO, ISRO";"21 Mar 1996";"Sun-synchronous";459;"188 m[Best Resolution: 188m]";"810 km [Max Swath: 810 km]";"WiFS";"Wide Field Sensor";"Multi-purpose imaging Vis/IR radiometer";"ISRO"
"240";"ADEOS";"Advanced Earth Observing Satelliteaka Midori";"JAXA, CNES, MITI (Japan), MOE (Japan), NASA";"17 Aug 1996";"Sun-synchronous";358;"16 m (multi), 8 m (pan)[Best Resolution: 8m]";"80km[Max Swath: 80 km]";"AVNIR";"Advanced Visible and Near Infrared Radiometor";"High resolution optical imager";"JAXA"
"";"";"";"";"";"";390;"6 x 7 km";"2400 (across track) x 1800 km (along track)";"POLDER";"POLarization and Directionality of the Earth's Reflectances";"Multi-channel/direction/polarisation radiometer";"CNES, JAXA"
"241";"ADEOS-II";"Advanced Earth Observing Satellite - IIaka Midori-2";"JAXA, CNES, NASA, NOAA";"14 Dec 2002";"Sun-synchronous";362;"1 km for 28 bands, 250 m for 6 bands";"1600 km";"GLI";"Global Imager";"Medium-resolution spectro-radiometer";"JAXA"
"";"";"";"";"";"";793;"6 x 7 km";"2400 (across track) x 1800 km (along track)";"POLDER-2";"POLarization and Directionality of the Earth's Reflectances";"Multi-channel/direction/polarisation radiometer";"CNES, JAXA"
"242";"ALOS";"Advanced Land Observing Satelliteaka Daichi";"JAXA";"24 Jan 2006";"Sun-synchronous";363;"10 m[Best Resolution: 10m]";"70 km[Max Swath: 70 km]";"AVNIR-2";"Advanced Visible and Near Infra-red Radiometer type 2";"High resolution optical imager";"JAXA"
"";"";"";"";"";"";364;"(depending on looks, incident angle and bandwidth) Hi-res: 7 - 44 m or 14 - 88 m, ScanSAR mode: 35 - 77 m or 70 - 154 m, Polarimetry: 24 - 88 m[Best Resolution: 7m]";"High resolution mode: 70 km, Scan SAR mode: 250 - 360 km, Polarimetry: 30 km[Max Swath: 360 km]";"PALSAR";"Phased Array type L-band Synthetic Aperture Radar";"Imaging radar (SAR)";"JAXA, METI"
"243";"RADARSAT-1";"RADARSAT-1aka RADARSAT";"CSA";"04 Nov 1995";"Sun-synchronous";456;"Nominal resolutions: Standard: 30 m (4 looks); Wide: 30 m (4 looks); Fine: 8 m (1 look); ScanSAR (N/W): 50 m / 100 m (4/8 looks); Extended (H/L): 18 - 27 m / 30 m (4/4 looks).[Best Resolution: 8m]";"Standard: 100 km (inc.: 20 - 49 deg); Wide: 150 km (inc.: 20 - 45 deg), Fine: 45 km (inc.: 37 - 47 deg); ScanSAR (N/W): 300/500 km (inc.: 20 - 49 deg); Extended (H/L): 75/170 km (inc.: 52 - 58 / 10 - 22 deg). [Max Swath: 500 km]";"SAR (RADARSAT)";"Synthetic Aperture Radar (CSA) C band";"Imaging radar (SAR)";"CSA"
"245";"JERS-1";"Japanese Earth Resource Satelliteaka Fuyou";"NASDA, JAXA";"11 Feb 1992";"Sun-synchronous";335;"18m (range) × 18m (azimuth at 3 looks)";"75 km";"L-band SAR";"L-band Synthetic Apature Radar";"Imaging radar (SAR)";"JAXA, METI"
"";"";"";"";"";"";336;"\"18.3m (range) × 24.2m (azimuth)";"75 km";"OPS";"Optical Sensor";"High resolution optical imager";"JAXA"
"247";"SPOT-1";"Satellite Pour l'Observation de la Terre - 1";"CNES";"22 Feb 1986";"Sun-synchronous";19;"10 m (panchromatic) or 20 m[Best Resolution: 10m]";"117 km (i.e. 60 km + 60 km with 3 km overlap) - steerable up to ±27 deg off-track[Max Swath: 117 km]";"HRV";"High Resolution Visible";"High resolution optical imager";"CNES"
"249";"SPOT-3";"Satellite Pour l'Observation de la Terre - 3";"CNES";"25 Sep 1993";"Sun-synchronous";19;"10 m (panchromatic) or 20 m[Best Resolution: 10m]";"117 km (i.e. 60 km + 60 km with 3 km overlap) - steerable up to ±27 deg off-track[Max Swath: 117 km]";"HRV";"High Resolution Visible";"High resolution optical imager";"CNES"
"251";"SPOT-4";"Satellite Pour l'Observation de la Terre - 4";"CNES";"24 Mar 1998";"Sun-synchronous";26;"10 m (0.64 µm) or 20 m[Best Resolution: 10m]";"117 km (i.e. 60 km + 60 km with 3 km overlap). Steerable up to ±27 deg off-track[Max Swath: 117 km]";"HRVIR";"High Resolution Visible and Infra-red";"High resolution optical imager";"CNES, SNSA"
"";"";"";"";"";"";404;"1.15 km at nadir - minimal variation for off-nadir viewing[Best Resolution: 1150m]";"2200 km";"VEGETATION";"VEGETATION";"Multi-purpose imaging Vis/IR radiometer";"CNES, SNSA, COM"
"253";"SPOT-5";"Satellite Pour l'Observation de la Terre - 5";"CNES";"04 May 2002";"Sun-synchronous";183;"Panchromatic: 5 m, Multispectral: 10 m[Best Resolution: 5m]";"60 km (1 instrument), 117 km (2 instruments). Same as SPOT 4 with off-track steering capability (±27 deg)[Max Swath: 117 km]";"HRG";"HRG";"High resolution optical imager";"CNES"
"";"";"";"";"";"";759;"Panchromatic: 10 m, Altitude: 15 m[Best Resolution: 10m]";"120 km[Max Swath: 120 km]";"HRS";"High Resolution Stereoscope";"High resolution optical imager";"CNES"
"";"";"";"";"";"";404;"1.15 km at nadir - minimal variation for off-nadir viewing[Best Resolution: 1150m]";"2200 km";"VEGETATION";"VEGETATION";"Multi-purpose imaging Vis/IR radiometer";"CNES, SNSA, COM"
"257";"IRS-P4";"OCEANSAT-1";"ISRO";"26 May 1999";"Sun-synchronous";459;"188 m[Best Resolution: 188m]";"810 km [Max Swath: 810 km]";"WiFS";"Wide Field Sensor";"Multi-purpose imaging Vis/IR radiometer";"ISRO"
"259";"Meteosat-9";"Meteosat Second Generation-2aka MSG-2";"EUMETSAT, ESA";"22 Dec 2005";"Geostationary";302;"HRV=1 km, All other channels=3 km (spatial sampling distance at SSP)[Best Resolution: 1000m]";"9 km swath scanning E-W, moving up S-N a swath width at the end of each swath.  Full Disc Coverage (FDC) or Local Area Coverage (LAC) possible.[Max Swath: 9 km]";"SEVIRI";"Spinning Enhanced Visible and Infra-Red Imager";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, ESA"
"260";"Meteosat-10";"Meteosat Second Generation-3aka MSG-3";"EUMETSAT, ESA";"05 Jul 2012";"Geostationary";302;"HRV=1 km, All other channels=3 km (spatial sampling distance at SSP)[Best Resolution: 1000m]";"9 km swath scanning E-W, moving up S-N a swath width at the end of each swath.  Full Disc Coverage (FDC) or Local Area Coverage (LAC) possible.[Max Swath: 9 km]";"SEVIRI";"Spinning Enhanced Visible and Infra-Red Imager";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, ESA"
"261";"Metop-A";"Meteorological Operational Polar Satellite - Aaka Metop-2";"EUMETSAT, CNES, ESA, NOAA";"19 Oct 2006";"Inclined, non-sun-synchronous";403;"1.1 km[Best Resolution: 1100m]";"3000 km approx, Ensures full global coverage twice daily[Max Swath: 3000 km]";"AVHRR/3";"Advanced Very High Resolution Radiometer/3";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, NOAA"
"264";"NPOESS-2";"National Polar-orbiting Operational Environmental Satellite System - 2";"NOAA";"31 Jan 2016";"Sun-synchronous";412;"400 m - 1.6 km[Best Resolution: 400m]";"3000 km[Max Swath: 3000 km]";"VIIRS";"Visible/Infrared Imager Radiometer Suite";"Multi-purpose imaging Vis/IR radiometer";"NOAA, NASA"
"265";"CBERS-1";"China Brazil Earth Resources Satellite - 1";"CRESDA, INPE";"14 Oct 1999";"Sun-synchronous";409;"20 m[Best Resolution: 20m]";"113 km[Max Swath: 113 km]";"CCD";"High Resolution CCD Camera";"High resolution optical imager";"CAST, INPE"
"";"";"";"";"";"";406;"258 m[Best Resolution: 258m]";"890 km[Max Swath: 890 km]";"WFI";"Wide Field Imager";"Multi-purpose imaging Vis/IR radiometer";"CAST, INPE"
"267";"CBERS-2";"China Brazil Earth Resources Satellite - 2";"CRESDA, INPE";"21 Oct 2003";"Sun-synchronous";409;"20 m[Best Resolution: 20m]";"113 km[Max Swath: 113 km]";"CCD";"High Resolution CCD Camera";"High resolution optical imager";"CAST, INPE"
"";"";"";"";"";"";406;"258 m[Best Resolution: 258m]";"890 km[Max Swath: 890 km]";"WFI";"Wide Field Imager";"Multi-purpose imaging Vis/IR radiometer";"CAST, INPE"
"270";"NPOESS-1";"National Polar-orbiting Operational Environmental Satellite System - 1";"NOAA";"31 Jan 2013";"Sun-synchronous";412;"400 m - 1.6 km[Best Resolution: 400m]";"3000 km[Max Swath: 3000 km]";"VIIRS";"Visible/Infrared Imager Radiometer Suite";"Multi-purpose imaging Vis/IR radiometer";"NOAA, NASA"
"274";"IRS-1D";"Indian Remote Sensing Satellite - 1D";"ISRO";"29 Sep 1997";"Sun-synchronous";444;"Bands 2, 3 & 4: 23.5 m, Band 5: 70.5 m[Best Resolution: 23.5m]";"141 km[Max Swath: 141 km]";"LISS-III (IRS)";"Linear Imaging Self Scanner - III (IRS)";"High resolution optical imager";"ISRO"
"";"";"";"";"";"";459;"188 m[Best Resolution: 188m]";"810 km [Max Swath: 810 km]";"WiFS";"Wide Field Sensor";"Multi-purpose imaging Vis/IR radiometer";"ISRO"
"276";"RESOURCESAT-1";"Resource Satellite-1aka IRS-P6";"ISRO";"17 Oct 2003";"Sun-synchronous";460;"55 m[Best Resolution: 55m]";"740 km[Max Swath: 740 km]";"AWiFS";"Advanced Wide Field Sensor";"Multi-purpose imaging Vis/IR radiometer";"ISRO"
"";"";"";"";"";"";934;"23.5 m[Best Resolution: 23.5m]";"141 km[Max Swath: 141 km]";"LISS-III (Resourcesat)";"Linear Imaging Self Scanner - III (Resourcesat)";"High resolution optical imager";"ISRO"
"";"";"";"";"";"";461;"5.8 m[Best Resolution: 5.8m]";"70 km[Max Swath: 70 km]";"LISS-IV";"Linear Imaging Self Scanner - IV";"High resolution optical imager";"ISRO"
"277";"IRS-1B";"Indian Remote Sensing Satellite - 1B";"ISRO";"29 Aug 1991";"Sun-synchronous";439;"Bands 2, 3 & 4: 23.5 m, Band 5: 70.5 m";"141 km";"LISS-II";"Linear Imaging Self Scanner - II";"High resolution optical imager";"ISRO"
"285";"SPOT-2";"Satellite Pour l'Observation de la Terre - 2";"CNES";"22 Jan 1990";"Sun-synchronous";19;"10 m (panchromatic) or 20 m[Best Resolution: 10m]";"117 km (i.e. 60 km + 60 km with 3 km overlap) - steerable up to ±27 deg off-track[Max Swath: 117 km]";"HRV";"High Resolution Visible";"High resolution optical imager";"CNES"
"309";"FY-1C";"FY-1C Polar-orbiting Meteorological Satellite";"NRSCC, NSMC-CMA";"10 May 1999";"Sun-synchronous";180;"1.1 km[Best Resolution: 1100m]";"3200 km[Max Swath: 3200 km]";"MVISR (10 channels)";"Multispectral Visible and Infra-red Scan Radiometer (10 channels)";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA"
"310";"FY-1D";"FY-1D Polar-orbiting Meteorological Satellite";"NSMC-CMA, NRSCC";"15 May 2002";"Sun-synchronous";180;"1.1 km[Best Resolution: 1100m]";"3200 km[Max Swath: 3200 km]";"MVISR (10 channels)";"Multispectral Visible and Infra-red Scan Radiometer (10 channels)";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA"
"318";"Sich-1M";"Sich-1M";"NSAU";"24 Dec 2004";"Inclined, non-sun-synchronous";567;"Visible: 24 x 34 m";"48 km or 105km; pointable ±30° from nadir";"MSU-EU";"Multi-Spectral Radiometer with High Resolution";"High resolution optical imager";"NSAU"
"344";"SAC-C";"Satellite de Aplicaciones Cientifico-C";"CONAE";"21 Nov 2000";"Sun-synchronous";723;"35 m[Best Resolution: 35m]";"90 km[Max Swath: 90 km]";"HRTC";"High Resolution Panchromatic Camera";"Multi-purpose imaging Vis/IR radiometer";"CONAE"
"";"";"";"";"";"";722;"175 m[Best Resolution: 175m]";"360 km[Max Swath: 360 km]";"MMRS";"Multispectral Medium Resolution Scanner";"Multi-purpose imaging Vis/IR radiometer";"CONAE"
"349";"Landsat 7";"Landsat 7aka L7, Landsat-7";"USGS, NASA";"15 Apr 1999";"Sun-synchronous";322;"PAN: 15 m, VIS - SWIR: 30 m, TIR: 60 m[Best Resolution: 15m]";"185 km[Max Swath: 185 km]";"ETM+";"Enhanced Thematic Mapper Plus";"High resolution optical imager";"USGS, NASA"
"350";"DSCOVR";"Deep Space Climate Observatoryaka Triana";"NOAA, NASA, USAF";"11 Feb 2015";"Earth-Sun L-1";1615;"10-20 km[Best Resolution: 25000m]";"Whole Earth";"EPIC";"Earth Polychromatic Imaging Camera";"Multi-purpose imaging Vis/IR radiometer";"NASA, NOAA"
